b1,b2,b3,b4
-1.424807,-0.13607739,0.6316536,1.9447242
-0.12008405,0.46511146,1.2239051,1.9946064
-1.6780486,-1.2336651,-0.010875146,0.867654
-0.91378707,-0.57209796,0.7819313,1.8593671
-1.3035971,-1.0954714,-0.010600042,0.70403796
-0.67992496,0.1470027,0.5705616,1.1988313
-0.8808307,-0.46161908,0.2164928,0.40612024
-1.6313794,-0.5198901,0.0006532705,0.8660069
-2.1755621,-0.5653357,-0.18101823,0.32759354
0.34144673,0.72832686,0.9193798,2.2055516
