,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
EXT1,1.0,-0.4448914547286517,0.461656873088965,-0.4972627291275261,0.47910896872248443,-0.33853178498708414,0.5801072580487578,-0.38224596148695583,0.47173876341763715,-0.4181670437051235,-0.08882653259773018,0.12969187127885926,-0.10742181859776004,0.11312021765214851,-0.037479723888817165,-0.06115017241540086,-0.00990993862170873,-0.02332227776531976,-0.05647848100504669,-0.173720533590599,-0.027705559796771254,0.2681927534842037,0.07494717453691925,0.08587861146996037,-0.10206894768831463,0.055121024421669565,-0.2087847307698689,0.14774077408967942,0.13213628283195644,0.3078047689217125,0.030511617459595995,0.05789242000175123,0.006145163663496472,-0.01947588264355136,0.06746161427645442,0.02025015463940721,-0.044387644017858406,-0.014069077382010775,0.044017628090328484,0.05345077151971765,0.04054774272678714,-0.012822772665877592,0.07374502421284108,0.0014433568078330416,0.19358850165546346,-0.08066442166584326,0.06960215699537749,0.03136352072399087,-0.07595505216511271,0.17320404285950636
EXT2,-0.4448914547286517,0.9999999999999999,-0.429379535747747,0.5618443309163825,-0.5207006872665999,0.5491319543813551,-0.4506331319010614,0.4054366675779207,-0.37677085235655217,0.49328336261385863,0.05121538182139406,-0.0039274785544849075,0.058299758119529616,-0.05003476686353862,0.03963565932748172,0.024720220451543103,0.020981886214604516,0.029078028399878747,0.03662593773070856,0.19028254539153755,0.13383625526319748,-0.27698732255635383,-0.04376780740186073,-0.10274149849899755,0.20317962197864675,-0.05158992274248069,0.30402019624906085,-0.14326859049159807,-0.13027707471804145,-0.2316851056849792,0.01340382885356707,-0.04921919459589268,0.03338874212899953,0.03270292393374021,-0.006050113968802154,-0.01154986507519873,0.04226695914077418,0.06995345350314268,-0.021135890021733276,-0.017091337339890135,-0.03535754651428635,0.057452580694487616,-0.05048751325716905,0.050754001849849635,-0.12080843177441326,0.11358618789672704,-0.024983232876993725,-0.02569486288504801,0.06836708981846051,-0.13722090211176974
EXT3,0.461656873088965,-0.42937953574774707,1.0,-0.45706094537987535,0.5553065893246296,-0.34437530767104246,0.5415119816117884,-0.31626036281194286,0.42570615583133103,-0.4639796114851472,-0.20608171143836287,0.2662733929122102,-0.16650085334214415,0.1978025630104884,-0.12783523376802153,-0.17982005182054298,-0.1666532844626228,-0.19081815230087892,-0.20194231581436284,-0.3262047593646741,-0.11912967265582664,0.4009004287527912,-0.06598524403683814,0.20126471835884047,-0.2090551350926431,0.1207680195531543,-0.3479243102030756,0.25359618902586717,0.19809725602346756,0.37678575619933624,0.11753631676543003,0.0015303293320791523,0.06938599776505391,-0.15194879960917873,0.14650311337732627,-0.0573596883658211,0.024489040998269863,-0.12436627515889292,0.12123300408025339,0.10258181290878177,0.027890912242519758,-0.0503730432559129,0.023474280879922427,-0.01081549257472843,0.17180163191589334,-0.0653651739838764,0.12267743286271826,-0.02443156272854529,-0.06839789056286352,0.13769958690771877
EXT4,-0.4972627291275261,0.5618443309163825,-0.45706094537987535,1.0,-0.48433887081617366,0.46806704142579136,-0.47922247631825365,0.49021441315655695,-0.44562065706927073,0.5360937266076514,0.14067607228649404,-0.04829600361264964,0.1765965379455588,-0.08841447159480095,0.10004436989969391,0.11669045503216671,0.10487215150962798,0.11137226990555808,0.11758947833164982,0.26651836852921024,0.0987602734659687,-0.22751776571431953,0.003937286650393319,-0.024735655259709194,0.15887254945591825,0.0111181206435712,0.27184053134669667,-0.09109098316953577,-0.06751259974314121,-0.21811634187447107,-0.02081373347293339,0.015266793896620457,0.04474522066365823,0.13601128556398173,-0.050720072672291526,0.052253209391485755,0.0585548379788158,0.12319633476421339,-0.026484492774686768,-0.019901659783118565,-0.013514891504990063,0.07912702577264083,0.03301468898549206,0.05507779608981569,-0.13007931020019456,0.09015930471960662,-0.041134945892907664,0.00152029980586688,0.12676864774726307,-0.10604450291682453
EXT5,0.4791089687224844,-0.5207006872665999,0.5553065893246297,-0.4843388708161737,1.0,-0.4346624707174823,0.5916226520757525,-0.33503017784033307,0.42714416700691377,-0.5160707360943851,-0.0939096513126015,0.12124711848179427,-0.06887478238813882,0.1211402804003843,-0.0488090372829455,-0.07101338905727461,-0.05305884508397498,-0.0709313657469243,-0.08941506947817708,-0.20850984172180498,-0.10781913787836947,0.3776575896732562,-0.007776254925636441,0.1897523275945297,-0.20808657661604815,0.11617155134954883,-0.31466875974202657,0.24340205319067562,0.2111429069332406,0.37339431953335844,0.08454391582420163,0.033992275349314524,0.07113230060713874,-0.08417444883479996,0.12823100967674045,-0.014273967237329814,0.032928906292742054,-0.09818383928453328,0.11462897662326678,0.11409021828454954,0.08211457743239946,-0.05546312525633992,0.09297055836433199,-0.04407908479123824,0.22159793851799775,-0.10977016756354195,0.11479194054354337,0.056123131555031125,0.007482273271956181,0.2076551245905014
EXT6,-0.33853178498708414,0.5491319543813551,-0.34437530767104246,0.4680670414257913,-0.4346624707174823,1.0,-0.3502443865578469,0.34083372646550697,-0.32066903739047475,0.4100881015925887,0.07335802837047824,0.0007613776709843879,0.0626701504102594,-0.02031708315130358,0.11234686109429681,0.08647462337000263,0.0719501665073224,0.08209677873265421,0.0813899571142116,0.19429459160057028,0.1695362131368319,-0.2757362438435657,0.0038996338561585312,-0.1129210879989713,0.2331291291178112,-0.017033959479985143,0.33417923688735746,-0.14014438493734688,-0.1332050974669415,-0.21720924743248166,-0.03263214399498971,-0.021351605050792956,-0.044243449070829104,0.10294303753275462,0.0028448663668405386,0.04708258357266384,0.007876095440325736,0.13460536603467635,-0.021280736546885268,-0.07555877213244074,-0.1561241004145015,0.19192061636891145,-0.11948500922129811,0.18253948993696245,-0.23017745450017232,0.22524213852227606,-0.12225392227279928,-0.10860453473179577,-0.028589466931212143,-0.255312563960633
EXT7,0.5801072580487578,-0.4506331319010614,0.5415119816117884,-0.47922247631825365,0.5916226520757524,-0.3502443865578469,1.0,-0.3380316095053847,0.4376310100045309,-0.5016029286451192,-0.11458947004379691,0.1414202037722606,-0.11311138920772147,0.12501212476363202,-0.06154600575969596,-0.08930591251381277,-0.041890320291365024,-0.05584260404199999,-0.10072168651068358,-0.195927216384324,-0.07698402591965811,0.3408236004803002,0.013671800312182545,0.1408806538977739,-0.14830430803462036,0.08502911698992624,-0.2926638109841116,0.20770525383166696,0.1706487741363049,0.3346886721866891,0.04626559548683947,0.03998966411999519,0.03306230311488054,-0.0491520535463731,0.11167419129692419,0.0006925792821773323,-0.013117484628303384,-0.04885292295593044,0.07419192177536663,0.07536183597613377,0.051613596887827885,-0.03771285574716751,0.06391663281060798,-0.019039096448458866,0.17481788096450565,-0.0691396543338626,0.08935947838774268,0.050859496456319014,-0.037541311941251425,0.17254787392206938
EXT8,-0.38224596148695583,0.40543666757792074,-0.3162603628119428,0.49021441315655695,-0.33503017784033307,0.34083372646550697,-0.3380316095053847,1.0,-0.5042540756120418,0.41724178244024035,0.10405245234328356,-0.021346335847459014,0.13388071322482506,-0.04980221753612622,0.04644573327716262,0.0554418790133138,0.026055665449499315,0.022857909716284895,0.06978520835306311,0.1414894023792584,0.005352590060329216,-0.1596540182740285,-0.05548888850769145,0.018527270882487224,0.09261180018585277,0.0429509119455431,0.1801347246170531,0.02006199100917098,-0.021255521901752422,-0.11753069972741874,0.02535185290062457,-0.043715068364712936,0.0711869604042721,0.02538331072157095,0.00015186406312714246,-0.0033591177014815534,0.11097980889771357,0.03910467683580153,0.026413730073008533,0.020164334019295873,-0.01685536078756721,0.05480089831323765,-0.023982499346536578,0.05601285889333524,-0.11169713988329834,0.08803892901253385,0.0074842497813925974,-0.018261697432001903,0.10968335683070947,-0.09610242545024916
EXT9,0.47173876341763715,-0.3767708523565522,0.42570615583133103,-0.4456206570692708,0.42714416700691377,-0.3206690373904747,0.4376310100045309,-0.5042540756120418,1.0,-0.3592909569106687,-0.11435617836915199,0.13682940441459587,-0.09542591949045882,0.10773090228694031,-0.04355511512860697,-0.05102731856015144,0.005356052215581793,-0.013443317131006728,-0.03350558333682152,-0.13298027655506997,0.01352986622944736,0.238634268858464,0.11502781904037113,0.039156789707592725,-0.056797469983340704,0.010085795852610971,-0.15357953325288534,0.08915267301328395,0.10708360602556856,0.2314553623231094,0.017014618121455116,0.08587421937357384,0.012158993856500188,-0.0007659145182269113,0.01738237617313852,0.051850912232594595,-0.01908373483837742,0.018178524939474198,0.020028521846402563,0.06873461166563097,0.10378062208268915,-0.0701752068958168,0.10562658417047546,-0.048815758435185486,0.23141843749796095,-0.09158044471443386,0.1302788244520783,0.12341012808006385,-0.010333754300853072,0.21011235303245981
EXT10,-0.4181670437051234,0.49328336261385863,-0.46397961148514727,0.5360937266076514,-0.5160707360943851,0.41008810159258874,-0.5016029286451192,0.41724178244024035,-0.3592909569106687,0.9999999999999999,0.18635680783021177,-0.07165728901211084,0.20972905900330172,-0.0935146178713024,0.1199997640393253,0.15919460865904475,0.1403588956243034,0.1314922768342022,0.18429178623526615,0.2534682218935432,0.08185302466888525,-0.23032276289351744,0.04185011600655655,-0.03760318252707736,0.14840900490821549,0.027753200145995034,0.2566908459462538,-0.08485081224098205,-0.0571027470775829,-0.22386181621440907,-0.039879256390017104,0.01741334543251717,0.03622754621342558,0.13390677480126606,-0.08869703500514765,0.07945722422525948,0.06832305508817368,0.12865905200273098,-0.023118228826348435,-0.015543061495479888,-0.03635676721716722,0.08468826361955599,0.014352425522363845,0.05288941301937155,-0.1145355532195788,0.0832442925199027,-0.03879196349670275,-0.012285262587552432,0.14720270199392016,-0.08950791224386762
