epoch,loss
0,2.831028938293457
1,2.8269543647766113
2,2.8229575157165527
3,2.819040536880493
4,2.815197229385376
5,2.8114187717437744
6,2.8076999187469482
7,2.804042339324951
8,2.800441026687622
9,2.7968926429748535
10,2.7933926582336426
11,2.7899422645568848
12,2.7865383625030518
13,2.7831802368164062
14,2.7798633575439453
15,2.7765848636627197
16,2.773345708847046
17,2.770146131515503
18,2.766986131668091
19,2.7638609409332275
20,2.7607712745666504
21,2.7577173709869385
22,2.7546958923339844
23,2.751706838607788
24,2.7487523555755615
25,2.7458293437957764
26,2.7429375648498535
27,2.7400755882263184
28,2.7372429370880127
29,2.734438180923462
30,2.731659173965454
31,2.7289087772369385
32,2.7261850833892822
33,2.723487138748169
34,2.7208120822906494
35,2.7181644439697266
36,2.715540647506714
37,2.712939739227295
38,2.710364580154419
39,2.7078135013580322
40,2.70528244972229
41,2.7027745246887207
42,2.7002902030944824
43,2.6978278160095215
44,2.6953868865966797
45,2.692967176437378
46,2.690567970275879
47,2.688187599182129
48,2.6858274936676025
49,2.683487892150879
50,2.6811678409576416
51,2.6788666248321533
52,2.676584243774414
53,2.674316883087158
54,2.672069787979126
55,2.66983962059021
56,2.6676275730133057
57,2.665433406829834
58,2.663257360458374
59,2.661098003387451
60,2.6589555740356445
61,2.656829833984375
62,2.6547200679779053
63,2.6526267528533936
64,2.6505491733551025
65,2.648486614227295
66,2.646440029144287
67,2.644408702850342
68,2.64239239692688
69,2.640390396118164
70,2.6384031772613525
71,2.636430263519287
72,2.634469985961914
73,2.6325244903564453
74,2.6305932998657227
75,2.6286745071411133
76,2.626769542694092
77,2.6248786449432373
78,2.6230006217956543
79,2.621136426925659
80,2.6192848682403564
81,2.617445468902588
82,2.615619659423828
83,2.6138055324554443
84,2.612003803253174
85,2.6102147102355957
86,2.6084372997283936
87,2.6066715717315674
88,2.604917526245117
89,2.603174924850464
90,2.6014440059661865
91,2.5997238159179688
92,2.598015308380127
93,2.5963172912597656
94,2.5946309566497803
95,2.592954635620117
96,2.591289520263672
97,2.589634656906128
98,2.5879902839660645
99,2.5863564014434814
