b1,b2,b3,b4
-1.5867934,-1.1637709,0.060335968,1.1930944
-2.0310123,-1.0599809,-0.60862017,0.20394026
-0.81200993,0.33756182,0.54652715,1.0594865
-1.7681756,-0.7819448,0.35773864,0.6559367
-1.004338,0.70816755,0.8546807,1.7477306
-1.2444351,-0.36399975,0.6579164,1.5093881
-1.8400967,-0.62357664,0.62438136,1.5550327
-1.6451356,-1.067715,-0.104393184,1.3024385
0.002806591,0.124530464,0.36139858,1.1068171
-1.7554315,-0.58096266,0.70174915,1.5481973
